t,o,h,l,c,v,n,vw
2022-12-23T17:00:00Z,130.88,131.76,130.83,131.14,5554601,49958,131.316826
2022-12-23T18:00:00Z,131.14,131.5,130.81,131.1799,4977516,43783,131.213249
2022-12-23T19:00:00Z,131.17,131.76,130.93,131.7189,5167370,41047,131.356473
2022-12-23T20:00:00Z,131.7189,131.999,131.2,131.86,9403398,72633,131.625624
2022-12-23T21:00:00Z,131.85,131.99,131.59,131.75,4400156,1749,131.85823
2022-12-23T22:00:00Z,131.75,131.79,131.71,131.78,34486,536,131.737896
2022-12-23T23:00:00Z,131.77,131.78,131.71,131.74,16826,1273,131.732795
2022-12-24T00:00:00Z,131.75,131.75,131.65,131.65,25134,495,131.737563
2022-12-27T09:00:00Z,132.52,133.24,132.33,132.61,32909,920,132.612266
2022-12-27T10:00:00Z,132.68,132.82,132.54,132.55,23645,618,132.694338
2022-12-27T11:00:00Z,132.54,132.56,132.2,132.38,43240,931,132.414271
2022-12-27T12:00:00Z,132.34,132.4,131.62,131.62,153534,3408,131.958698
2022-12-27T13:00:00Z,132.37,132.6985,131.11,131.24,386400,6564,131.569565
2022-12-27T14:00:00Z,131.21,131.66,129.18,129.3399,10419954,149337,130.134299
2022-12-27T15:00:00Z,129.33,130.42,128.72,129.8428,14049305,132929,129.625206
2022-12-27T16:00:00Z,129.85,130.14,129.18,129.95,9399332,75479,129.650291
2022-12-27T17:00:00Z,129.9457,130.5299,129.68,130.13,6287075,54352,130.068669
2022-12-27T18:00:00Z,130.135,130.37,129.62,129.675,6658934,50451,129.993586
2022-12-27T19:00:00Z,129.68,130.31,129.65,130.1884,5380767,47466,130.004637
2022-12-27T20:00:00Z,130.185,130.59,129.94,130.05,9255444,76836,130.220739
2022-12-27T21:00:00Z,130.05,130.15,129.98,130.02,6711078,3549,130.030484
2022-12-27T22:00:00Z,129.96,130.08,129.89,129.96,98541,1269,129.998287
2022-12-27T23:00:00Z,130,130.14,129.9,129.97,42306,968,130.039981
2022-12-28T00:00:00Z,130,130.1,129.5,129.5,43935,1213,129.820043
2022-12-28T09:00:00Z,130.52,130.52,129.52,129.84,44352,1141,129.857432
2022-12-28T10:00:00Z,129.89,130,129.73,130,40737,843,129.889571
2022-12-28T11:00:00Z,129.97,130.24,129.81,130.1,27393,759,129.999169
2022-12-28T12:00:00Z,130.1,130.48,129.96,130.25,47842,1294,130.214192
2022-12-28T13:00:00Z,130.15,130.43,129.54,129.87,227577,5482,130.03776
2022-12-28T14:00:00Z,129.84,131.0275,129.13,129.99,9258742,87984,130.162006
2022-12-28T15:00:00Z,129.975,130.51,128.06,128.06,11287569,108529,129.577566
2022-12-28T16:00:00Z,128.07,128.22,126.46,126.6245,16350394,162054,127.378138
2022-12-28T17:00:00Z,126.6153,127.735,126.41,127.635,10468182,95329,126.935334
2022-12-28T18:00:00Z,127.64,128.39,126.84,127.085,8363290,74081,127.515764
2022-12-28T19:00:00Z,127.09,127.5,126.81,126.84,6982464,65095,127.081203
2022-12-28T20:00:00Z,126.83,126.84,125.87,126.05,15475315,146282,126.164551
2022-12-28T21:00:00Z,126.05,126.3159,126,126.26,6478186,5752,126.045432
2022-12-28T22:00:00Z,126.22,126.2753,126.04,126.1,233902,2382,126.09486
2022-12-28T23:00:00Z,126.14,126.28,126.14,126.26,62647,1442,126.212731
2022-12-29T00:00:00Z,126.26,126.32,126.16,126.32,67042,1798,126.246467
2022-12-29T09:00:00Z,126.82,126.9,126.52,126.84,53674,1487,126.718428
2022-12-29T10:00:00Z,126.84,126.92,126.71,126.9,32417,813,126.833956
2022-12-29T11:00:00Z,126.93,127.27,126.93,127.25,63928,1343,127.113721
2022-12-29T12:00:00Z,127.2,127.6,127.07,127.3,214476,3681,127.321424
2022-12-29T13:00:00Z,127.23,128.12,126.13,128.01,797322,10744,127.681124
2022-12-29T14:00:00Z,127.98,129.77,127.73,128.75,14122470,124566,128.855591
2022-12-29T15:00:00Z,128.745,129.98,128.19,129.9542,14001611,119072,129.119453
2022-12-29T16:00:00Z,129.96,130.4814,129.44,130.1005,10248386,79464,129.930045
2022-12-29T17:00:00Z,130.11,130.37,129.51,129.8401,7468176,60866,129.91804
2022-12-29T18:00:00Z,129.845,130.075,129.325,130.035,6242821,53177,129.65576
2022-12-29T19:00:00Z,130.03,130.24,129.73,129.775,5940060,53037,129.9928
2022-12-29T20:00:00Z,129.765,130.22,129.56,129.6,9830913,82024,129.892866
2022-12-29T21:00:00Z,129.61,129.6603,129.45,129.52,6621823,2108,129.60932
2022-12-29T22:00:00Z,129.5001,129.56,129.42,129.52,65389,869,129.489915
2022-12-29T23:00:00Z,129.52,129.52,129.31,129.39,41677,1707,129.40708
2022-12-30T00:00:00Z,129.35,129.36,129.21,129.25,46795,827,129.275039
2022-12-30T09:00:00Z,129,129.19,128.75,129.1,42039,793,128.898676
2022-12-30T10:00:00Z,129.1,129.18,128.85,129.14,20908,374,129.0445
2022-12-30T11:00:00Z,129.17,129.19,129.09,129.15,8231,154,129.138538
2022-12-30T12:00:00Z,129.17,129.22,128.4,128.47,84133,2214,128.747348
2022-12-30T13:00:00Z,128.8583,129.72,127.84,128.19,397917,7369,128.249191
2022-12-30T14:00:00Z,128.19,128.69,127.48,127.8801,9814555,97350,128.117601
2022-12-30T15:00:00Z,127.881,129.25,127.43,128.8375,11940576,104006,128.33817
2022-12-30T16:00:00Z,128.833,129.05,128.08,128.995,9679901,74723,128.599934
2022-12-30T17:00:00Z,128.995,129.08,128.635,128.955,5175413,50752,128.889253
2022-12-30T18:00:00Z,128.96,128.965,128.02,128.375,6491323,61490,128.498198
2022-12-30T19:00:00Z,128.38,128.395,127.97,128.28,6075797,63591,128.18145
2022-12-30T20:00:00Z,128.28,129.95,128.255,129.91,17140964,122056,129.242966
2022-12-30T21:00:00Z,129.91,130.05,129.78,129.99,10735723,3598,129.931908
2022-12-30T22:00:00Z,130,130.05,129.91,129.9487,76786,936,129.975978
2022-12-30T23:00:00Z,129.95,130.05,129.94,130.01,35882,589,129.983362
2022-12-31T00:00:00Z,129.99,130.04,129.97,129.97,40761,542,130.000153
2023-01-03T09:00:00Z,130.28,131.46,130.28,131.3,143683,2513,131.134296
2023-01-03T10:00:00Z,131.4,131.4,130.8,131,42853,1008,131.000374
2023-01-03T11:00:00Z,130.91,131.25,130.05,130.38,84001,1583,130.517092
2023-01-03T12:00:00Z,130.38,130.75,130.03,130.5,184600,3173,130.437864
2023-01-03T13:00:00Z,130.25,131.2285,129.63,130.92,504693,7436,130.614771
2023-01-03T14:00:00Z,130.95,131.36,126.88,126.9336,15820585,195885,129.405864
2023-01-03T15:00:00Z,126.94,127.3,125.05,125.595,20193122,212599,125.780599
2023-01-03T16:00:00Z,125.595,125.87,124.49,124.7425,15240167,164522,125.071629
2023-01-03T17:00:00Z,124.75,125.055,124.3491,124.59,9027657,100541,124.700725
2023-01-03T18:00:00Z,124.5999,124.84,124.19,124.815,9459025,89677,124.480295
